series,phase,order,sentence,answer,base,ja
Series 4,1,11,She learned a new ___ for painting.,technique,technique,技術、手法
Series 4,1,12,There is a growing ___ toward healthy eating.,trend,trend,傾向、流行
Series 4,1,13,The temperature dropped by ten ___ overnight.,degrees,degree,度、学位、程度
Series 4,1,14,He was late because of a traffic ___.,accident,accident,事故、偶然
Series 4,1,15,I do the ___ every Sunday morning.,laundry,laundry,洗濯（物）
Series 4,1,16,She gave an excellent ___ in class.,presentation,presentation,発表、プレゼン
Series 4,1,17,He has a strong ___ of heights.,fear,fear,恐怖
Series 4,1,18,This is a popular ___ for taking photos.,spot,spot,場所、斑点
Series 4,1,19,Read all the ___ carefully before you start.,instructions,instruction,指示、説明
Series 4,1,20,He ran for office as an ___.,independent,independent,独立した人・もの
Series 5,1,1,We wore ___ clothes at the festival.,traditional,traditional,伝統的な
Series 5,1,2,The volunteer work gave her ___ experience.,valuable,valuable,貴重な、価値のある
Series 5,1,3,He wants to become a ___ soccer player.,professional,professional,プロの、専門的な
Series 5,1,4,Can you tell me the ___ time of the meeting?,exact,exact,正確な
Series 5,1,5,Smith is a very ___ family name in England.,common,common,一般的な、共通の
Series 5,1,6,Sushi is made with ___ fish.,raw,raw,生の、未加工の
Series 5,1,7,There is a ___ library near the station.,public,public,公共の
Series 5,1,8,Eating vegetables is part of a ___ diet.,healthy,healthy,健康的な、健康な
Series 5,1,9,It is ___ to rain later this afternoon.,likely,likely,ありそうな
Series 5,1,10,The two brothers have very ___ voices.,similar,similar,似ている
Series 5,1,11,Everyone should learn ___ first-aid skills.,basic,basic,基本的な
Series 5,1,12,We had ___ chicken for dinner.,roast,roast,焼いた、ローストした
Series 5,1,13,The earth is a large ___ object.,round,round,丸い
Series 5,1,14,Do we have ___ chairs for everyone?,enough,enough,十分な
Series 5,1,15,We had a ___ walk in the park.,pleasant,pleasant,快い、感じのよい
Series 5,1,16,Please give a ___ example in your answer.,specific,specific,具体的な、特定の
Series 5,1,17,These shoes are light and ___.,comfortable,comfortable,快適な
Series 5,1,18,She ate the ___ pizza by herself.,whole,whole,全体の
Series 5,1,19,The baby is finally ___.,asleep,asleep,眠って
Series 5,1,20,He showed off his ___ smartphone.,brand-new,brand-new,新品の
Series 6,1,1,There is an ___ charge for late delivery.,additional,additional,追加の
Series 6,1,2,We need a ___ surface to set up the tent.,flat,flat,平らな
Series 6,1,3,She is a ___ author in Japan.,well-known,well-known,有名な
Series 6,1,4,A ___ storm hit the coast last night.,violent,violent,暴力的な、激しい
Series 6,1,5,The train was very ___ this morning.,crowded,crowded,混雑した
Series 6,1,6,Only a ___ students came to the early class.,few,few,ほとんどない、少しの
Series 6,1,7,The old town has many ___ streets.,narrow,narrow,狭い
Series 6,1,8,Cut the bread into ___ slices.,thin,thin,薄い、細い
Series 6,1,9,My best friend lives ___ to my house.,close,close,近い、親しい
Series 6,1,10,I am ___ that I locked the door.,certain,certain,確信して、確かな
Series 6,1,11,Do you have this shirt in any ___ colors?,other,other,ほかの
Series 6,1,12,Rain is ___ weather for this season.,typical,typical,典型的な
Series 6,1,13,She is ___ of the dark.,afraid,afraid,恐れて、心配して
Series 6,1,14,We will meet again the ___ week.,following,following,次の
Series 6,1,15,Is there a ___ train to the airport?,direct,direct,直接の
Series 6,1,16,This old book is ___ a lot of money.,worth,worth,～の価値がある
Series 6,1,17,The bottle is completely ___.,empty,empty,空の
Series 6,1,18,He ___ eats fast food.,rarely,rarely,めったに～ない
Series 6,1,19,I have been to Kyoto only ___.,once,once,一度、かつて
Series 6,1,20,The shop was ___ a small bakery.,originally,originally,もともと、最初は
Series 7,1,1,The train left at ___ nine o'clock.,exactly,exactly,正確に、ちょうど
Series 7,1,2,Try to eat ___ and exercise more.,less,less,より少なく
Series 7,1,3,"___, the weather will be sunny tomorrow.",hopefully,hopefully,願わくは、うまくいけば
Series 7,1,4,The customers are ___ young students.,mostly,mostly,たいてい、主に
Series 7,1,5,I ___ forgot about the meeting.,completely,completely,完全に
Series 7,1,6,The flowers were arranged very ___.,nicely,nicely,うまく、よく
Series 7,1,7,The test was ___ difficult this time.,rather,rather,かなり、むしろ
Series 7,1,8,"The movie was ___ good, actually.",pretty,pretty,かなり、なかなか
Series 7,1,9,She wants to study ___ next year.,abroad,abroad,海外で、海外へ
Series 7,1,10,He lives ___ in a small apartment.,alone,alone,一人で
Series 7,1,11,Have you finished your homework ___?,yet,yet,まだ、もう
Series 7,1,12,She solved the puzzle ___.,easily,easily,簡単に
Series 7,1,13,I don't play that game ___.,anymore,anymore,もはや～ない
Series 7,1,14,You can call me ___ you need help.,anytime,anytime,いつでも
Series 7,1,15,"It's cold today. It was warm yesterday, ___.",though,though,でも、もっとも
Series 7,1,16,It was raining ___ all morning.,heavily,heavily,激しく、大量に
Series 7,1,17,I'm ___ finished with my report.,almost,almost,ほとんど
Series 7,1,18,"After many tries, he ___ succeeded.",eventually,eventually,結局、ついに
Series 7,1,19,I could ___ hear her quiet voice.,hardly,hardly,ほとんど～ない
Series 7,1,20,The exam was ___ easy for most students.,quite,quite,かなり、まったく
Series 8,1,1,Please call me ___ if there is a problem.,immediately,immediately,すぐに
Series 8,1,2,We had dinner and went for a walk ___.,afterward,afterward,あとで
Series 8,1,3,"The café was closed, so we went to the park ___.",instead,instead,代わりに
Series 8,1,4,We'll go hiking ___ it rains.,unless,unless,～でない限り
Series 8,1,5,"___ it was raining, we enjoyed the trip.",although,although,～だけれども
Series 8,1,6,The shop is open every day ___ Sunday.,except,except,～を除いて
Series 8,1,7,The cat is hiding ___ the sofa.,behind,behind,～の後ろに
Series 8,1,8,The mountains lie ___ the river.,beyond,beyond,～の向こうに、～を超えて
Series 8,1,9,I can't read this menu ___ my glasses.,without,without,～なしで
Series 8,1,10,"___ her sister, she enjoys sports.",unlike,unlike,～と違って
Series 8,1,11,Call me ___ you need help.,whenever,whenever,～するときはいつでも
Series 8,1,12,Please reply ___ three days.,within,within,～以内に、～の中で
